2686979	27875
2686979	405759
2686980	27878
2686980	192374
2686980	842660
2686980	1184620
2686980	2154881
2686982	27878
2686983	27878
2686984	27878
2686984	779685
2686985	27878
2686985	672529
2686986	27878
2686987	27878
2686988	27878
2686988	136691
2686988	420976
2686989	27878
2686989	446971
2686989	851997
2686989	947725
2686989	1005891
2686989	1111850
2686989	1675450
2686989	1909195
2686989	1912463
2686989	2297579
2686989	2884133
2686990	27884
2686990	428561
2686990	527950
2686990	811287
2686990	862417
2686991	487917
2686991	1525321
2686991	4082382
2686992	27884
2686992	1193080
2686992	1818007
2686993	27884
2686993	1193080
2686994	27885
2686995	27885
2686997	27885
2686997	1726623
2686997	2605457
2686998	27889
2686999	27889
2687000	27889
2687000	471448
2687001	27891
2687002	27891
2687002	444493
2687003	27891
2687004	27893
2687005	27893
2687006	27893
2687007	27895
2687007	156545
2687007	329270
2687007	680677
2687007	808956
2687007	1153111
2687007	1161392
2687007	3502679
2687007	3794936
2687008	27895
2687008	788105
2687009	27895
2687009	183443
2687009	461761
2687010	27895
2687010	33995
2687010	342782
2687010	752596
2687010	863566
2687010	1148201
2687011	27895
2687011	94264
2687011	113137
2687011	893855
2687012	27895
2687012	461761
2687012	952363
2687013	27895
2687013	509744
2687013	1148765
2687014	27895
2687014	34550
2687014	1822344
2687015	27895
2687016	27895
2687017	27895
2687017	2321308
2687018	27895
2687018	490833
2687018	1933890
2687018	1959840
2687018	2448166
2687019	27895
2687019	1687459
2687020	27895
2687021	27895
2687022	27895
2687023	27895
2687024	27898
2687024	75603
2687024	253804
2687024	442967
2687024	1089411
2687024	2249630
2687024	2502488
2687024	2502493
2687024	2600438
2687024	3303216
2687024	3974798
2687025	331294
2687025	1089411
2687025	1287534
2687025	1484197
2687025	1658933
2687025	2637384
2687025	3166479
2687025	3940630
2687025	3954354
2687026	27898
2687026	967969
2687026	1756811
2687027	27898
2687027	82029
2687027	967964
2687027	967968
2687027	967970
2687027	1089411
2687027	1914892
2687028	27898
2687028	45313
2687028	971871
2687028	1089411
2687028	4487462
2687029	27898
2687029	45322
2687029	75603
2687029	190372
2687029	442967
2687029	470803
2687029	661565
2687029	861811
2687029	1323513
2687029	2020061
2687029	2248173
2687029	2249634
2687029	2249643
2687029	2528586
2687029	2529457
2687029	2530818
2687029	2600436
2687029	2600449
2687029	2687031
2687029	2687035
2687029	2727629
2687029	2727630
2687029	3072772
2687029	3303217
2687029	3346155
2687029	3903346
2687029	4006269
2687029	4457555
2687029	4487463
2687030	27898
2687030	45322
2687030	484150
2687030	924285
2687030	967969
2687030	1756815
2687030	2515732
2687030	2797920
2687030	2940621
2687031	27898
2687031	45322
2687031	75603
2687031	357213
2687031	442967
